L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu. Ciê¿ko odró¿niæ przy dwóch skrzy¿owaniach;Czas trwania nadawania sygna³u odjazdu (S)
R;187;83.001310029344;before;
R;193;83.001614054365;before;
R;259;83.001730062234;before;
R;277;83.00182864711;before;
R;265;83.002158672131;before;
R;295;83.002158672131;before;
R;151;83.002158674401;after;
R;367;83.002198037213;before;
R;307;83.002245575483;before;
R;349;83.002528062234;before;
R;277;83.002709697152;before;
R;343;83.002709697152;before;
R;337;83.003121600504;before;
L;295;83.168360722173;before;
R;271;84.001491185374;before;
R;301;84.00149119251;before;
R;169;84.002016188125;before;
R;229;84.002016199965;before;
R;301;84.002016199965;before;
R;175;84.002016204918;after;
R;265;84.002196671954;before;
R;169;84.002320220282;before;
R;271;84.002320224986;before;
R;253;84.002526696975;before;
R;325;84.002748062234;before;
R;331;84.003039087255;before;
L;307;84.294806625525;before;
L;349;84.655015062234;before;
R;277;85.001526747194;before;
R;343;85.001526747194;before;
R;151;85.001526755033;after;
R;193;85.001765104407;before;
R;367;85.001821087255;before;
R;295;85.001830772215;before;
R;337;85.001972650546;before;
R;187;85.002329129428;before;
R;343;85.002376767306;before;
R;295;85.002376787893;before;
R;349;85.002437112276;before;
R;307;85.002744675567;before;
R;259;85.002861112276;before;
L;151;85.570715779579;after;
L;295;85.570715792327;before;
R;301;86.001249242566;before;
R;331;86.001305137297;before;
R;253;86.001717797236;before;
R;175;86.00174825982;after;
R;271;86.001748267587;before;
R;325;86.002337162318;before;
R;265;86.002853822257;before;
R;301;86.003144292608;before;
L;349;86.564548112276;before;
L;307;86.660548675567;before;
R;349;87.001275112276;before;
R;295;87.001292822257;before;
R;367;87.001618137297;before;
R;301;87.001900302273;before;
R;187;87.002423129428;before;
R;259;87.002423129428;before;
R;307;87.002570675567;before;
R;193;87.002883154449;before;
R;337;87.002991700588;before;
R;277;87.003143847278;before;
R;343;87.003143847278;before;
L;235;87.104982316713;after;
L;271;87.104982327294;before;
L;295;87.474554872299;before;
R;253;88.001270847278;before;
R;325;88.001596162318;before;
R;331;88.001926187339;before;
R;271;88.001948327294;before;
R;265;88.002640872299;before;
R;313;88.002694341483;before;
R;301;88.002694352315;before;
L;307;88.497541725609;before;
L;349;88.611036162318;before;
R;187;89.00154717947;before;
R;277;89.00218189732;before;
R;343;89.00218189732;before;
R;193;89.002345204491;before;
R;367;89.002406187339;before;
R;295;89.002472922341;before;
R;337;89.00253175063;before;
R;349;89.00276221236;before;
R;307;89.002848775651;before;
L;295;89.342331922341;before;
R;271;90.001740377336;before;
R;331;90.001830237381;before;
R;325;90.002121262402;before;
R;301;90.002837402357;before;
R;253;90.002957947362;before;
R;265;90.003248972383;before;
L;307;90.102939775651;before;
L;349;90.25876221236;before;
S;283;91.000243237895;before;0.000243237895
R;337;91.001426801271;before;
R;247;91.001426801361;before;
R;307;91.001717826891;before;
R;277;91.001726947876;before;
R;193;91.001755255911;after;
R;157;91.001755255996;after;
R;349;91.001899212543;before;
R;259;91.00227626343;after;
R;295;91.002615973411;before;
R;367;91.003022237747;before;
S;325;92.000239264102;before;0.000239264102
S;265;92.000241024657;before;0.000241024657
S;301;92.000245454607;before;0.000245454607
R;241;92.001252282516;after;
R;331;92.002298290222;before;
R;283;92.002298290309;after;
R;325;92.002875316342;before;
R;253;92.00300205114;after;
R;271;92.003227481068;after;
L;229;92.470577016666;after;
L;211;92.470577022074;after;
S;277;93.000237050336;before;0.000237050336
S;337;93.000238854973;before;0.000238854973
S;283;93.00024034236;after;0.00024034236
R;277;93.001266999855;before;
R;349;93.00129626406;before;
R;265;93.001571025534;after;
R;295;93.001571025721;before;
R;325;93.002143368378;after;
R;193;93.002335307937;after;
R;187;93.002652333401;before;
R;259;93.002652333611;after;
R;307;93.003103882115;after;
R;331;93.003238290307;before;
R;367;93.003238290373;before;
S;265;94.000236024876;after;0.000236024876
S;325;94.000239315328;after;0.000239315328
R;295;94.001271025027;before;
R;253;94.001346049897;after;
R;277;94.001346049897;after;
R;247;94.001507328207;after;
R;211;94.001650074415;before;
R;265;94.001650074918;after;
R;271;94.001650080551;after;
R;157;94.001798349235;after;
R;307;94.001798353205;after;
R;211;94.002383087837;before;
R;361;94.00238310302;before;
R;301;94.002383108679;after;
R;253;94.002383111205;after;
R;331;94.002727340349;after;
R;271;94.002908136807;after;
R;211;94.002908142033;before;
L;271;94.312061125489;after;
L;211;94.31206113055;before;
L;271;94.579827137836;after;
L;253;94.579827155068;after;
L;361;94.57982715808;before;
L;301;94.579827163904;after;
S;277;95.000235050048;after;0.000235050048
S;343;95.000235050048;before;0.000235050048
S;331;95.000243340349;before;0.000243340349
S;367;95.000243340349;before;0.000243340349
R;187;95.001485332958;before;
R;325;95.00160036537;before;
R;349;95.00174336537;after;
R;157;95.001802357476;before;
R;193;95.001802357979;before;
R;241;95.001802364647;after;
