Typ wiadomoœci: L-podanie trajektori dla nastêpnika, R-potwierdzenie znajdowania siê na trajektorii przez nastêpnika, S - sygna³ odjazdu;ID auta;Moment Symulacji w sec;Przed wjazdem na skrzy¿owanie/ Po ruszeniu;Czas trwania nadawania sygna³u odjazdu (S)
R;73;77.002046143483;after;
R;325;77.002188385438;before;
R;343;77.002249163414;before;
R;85;77.002363170797;after;
R;127;77.002387454276;before;
R;103;77.00238745441;after;
R;283;77.003157401393;after;
R;61;77.003227186144;after;
S;103;78.000233454862;after;0.000233454862
R;145;78.001276428885;after;
R;205;78.001299213456;before;
R;277;78.001299213456;before;
R;361;78.001303385438;before;
R;181;78.00134621269;before;
R;241;78.001447321146;before;
R;295;78.001763410459;before;
R;115;78.001954482379;after;
R;271;78.00205443548;before;
R;301;78.00205443548;before;
R;163;78.002412456299;before;
R;127;78.002412456325;before;
R;259;78.002435238477;before;
R;49;78.002781223991;after;
R;151;78.002781237711;before;
R;205;78.002781237711;before;
R;61;78.002781239236;after;
R;253;78.002791346167;before;
R;49;78.003098261545;after;
R;181;78.003098262732;before;
R;259;78.003098262732;before;
L;331;78.126949188435;before;
L;349;78.248945410459;before;
S;115;79.000245483841;after;0.000245483841
R;313;79.001255410459;before;
R;199;79.001535428862;after;
R;73;79.001898364077;after;
R;127;79.002070511357;after;
R;283;79.002411456331;after;
R;349;79.002482410459;before;
R;331;79.002569188435;before;
R;211;79.002735379148;before;
R;217;79.002735381987;before;
R;85;79.002735392159;after;
R;343;79.002990213456;before;
R;211;79.003091415011;before;
R;103;79.003091418912;after;
R;73;79.003091420241;after;
R;325;79.00314543548;before;
R;295;80.001550460501;before;
R;259;80.001759238477;before;
R;361;80.00186243548;before;
R;301;80.001893485522;before;
R;61;80.002089251204;after;
R;205;80.002089263498;before;
R;277;80.002089263498;before;
R;49;80.002089263616;after;
R;163;80.002121511316;before;
R;259;80.002497263931;before;
R;49;80.002497280895;after;
R;253;80.002513396209;before;
